"offspring" "father"
"1" 31 1778
"2" 46 1222
"3" 108 426
"4" 165 161
"5" 252 161
"6" 257 464
"7" 360 1226
"8" 361 1226
"9" 427 426
"10" 550 846
"11" 589 1301
"12" 607 12
"13" 838 1040
"14" 844 1222
"15" 845 846
"16" 847 1053
"17" 852 846
"18" 856 846
"19" 915 464
"20" 1036 846
"21" 1042 846
"22" 1045 846
"23" 1046 1301
"24" 1056 1125
"25" 1089 1625
"26" 1092 1026
"27" 1100 1233
"28" 1104 846
"29" 1107 1738
"30" 1113 1053
"31" 1148 1222
"32" 1170 1791
"33" 1189 1625
"34" 1206 1865
"35" 1223 1226
"36" 1230 1222
"37" 1232 1236
"38" 1234 1236
"39" 1254 1233
"40" 1371 12
"41" 1551 12
"42" 1627 1026
"43" 1641 1026
"44" 1642 1233
"45" 1655 1306
"46" 1666 1738
"47" 1670 1738
"48" 1684 1306
"49" 1698 1301
"50" 1703 1836
"51" 1741 1738
"52" 1776 1821
"53" 1777 846
"54" 1782 855
"55" 1783 1821
"56" 1785 1778
"57" 1790 1233
"58" 1794 1799
"59" 1795 1778
"60" 1798 1778
"61" 1807 1301
"62" 1808 1778
"63" 1811 1778
"64" 1815 1026
"65" 1816 1026
"66" 1822 1222
"67" 1823 1799
"68" 1824 1799
"69" 1825 1226
"70" 1826 1040
"71" 2004 161
"72" 2008 161
"73" 2227 464
"74" 2358 377
"75" 2380 161
"76" 2448 464
"77" 2522 426
"78" 2724 12
"79" 2857 283
"80" 3052 426
"81" 3083 846
"82" 3088 1778
"83" 3089 846
"84" 3090 855
"85" 3102 846
"86" 3104 846
"87" 3111 377
"88" 3115 377
"89" 3340 1026
"90" 3355 846
"91" 3381 855
"92" 3383 1053
"93" 3389 1778
"94" 3391 846
"95" 3392 1053
"96" 3394 846
"97" 3429 846
"98" 3463 1738
"99" 3471 849
"100" 3476 1053
"101" 3516 1301
"102" 3523 1233
"103" 3526 1233
"104" 3535 1233
"105" 3551 377
"106" 3552 1233
"107" 3584 1865
"108" 3595 1306
"109" 3635 1222
"110" 3636 1222
"111" 3637 1233
"112" 3648 1233
"113" 3704 1301
"114" 3705 1301
"115" 3708 1301
"116" 3736 12
"117" 3759 12
"118" 3760 12
"119" 3926 1301
"120" 4001 12
"121" 4097 1738
"122" 4131 1738
"123" 4133 1226
"124" 4136 1738
"125" 4148 1222
"126" 4160 1222
"127" 4200 1301
"128" 4201 1791
"129" 4210 12
"130" 4259 1625
"131" 4263 1829
"132" 4320 849
"133" 4321 1053
"134" 4323 1778
"135" 4327 1040
"136" 4329 1821
"137" 4331 1222
"138" 4333 1778
"139" 4347 1233
"140" 4376 1040
"141" 4386 1829
"142" 4389 1829
"143" 4391 1821
"144" 4407 1799
"145" 4409 1799
"146" 4417 161
"147" 4462 1799
"148" 4463 1222
"149" 96 283
"150" 100 4474
"151" 128 349
"152" 157 4474
"153" 159 281
"154" 235 349
"155" 242 281
"156" 259 4474
"157" 296 349
"158" 308 349
"159" 353 1625
"160" 388 64
"161" 400 64
"162" 411 64
"163" 466 349
"164" 598 1301
"165" 839 1008
"166" 922 869
"167" 1014 1625
"168" 1032 1040
"169" 1087 1008
"170" 1153 1625
"171" 1160 1226
"172" 1220 1236
"173" 1229 1222
"174" 1231 1797
"175" 1235 1040
"176" 1253 1222
"177" 1293 1306
"178" 1648 1821
"179" 1806 1053
"180" 1828 1780
"181" 1909 4474
"182" 1912 64
"183" 1935 281
"184" 1978 64
"185" 2067 281
"186" 2069 281
"187" 2071 349
"188" 2165 281
"189" 2185 349
"190" 2304 67
"191" 2345 64
"192" 2412 869
"193" 2756 349
"194" 3082 855
"195" 3120 869
"196" 3201 869
"197" 3314 1026
"198" 3367 1125
"199" 3399 1799
"200" 3447 1040
"201" 3468 855
"202" 3554 1799
"203" 3605 1233
"204" 3854 1301
"205" 3934 1301
"206" 4141 1821
"207" 4156 1226
"208" 4258 1738
"209" 4313 1306
"210" 4342 1301
"211" 4371 1625
"212" 4408 1779
"213" 107 146
"214" 142 156
"215" 145 349
"216" 147 156
"217" 148 349
"218" 239 349
"219" 256 146
"220" 452 869
"221" 488 349
"222" 503 1343
"223" 549 1125
"224" 614 349
"225" 766 349
"226" 829 1040
"227" 927 1343
"228" 999 1008
"229" 1010 1040
"230" 1015 1008
"231" 1016 1125
"232" 1030 1343
"233" 1031 1224
"234" 1059 846
"235" 1062 855
"236" 1086 855
"237" 1096 1821
"238" 1110 855
"239" 1114 855
"240" 1177 1343
"241" 1180 1343
"242" 1225 1799
"243" 1255 1233
"244" 1258 1796
"245" 1297 1125
"246" 1622 1821
"247" 1637 1865
"248" 1660 1233
"249" 1662 1738
"250" 1664 1054
"251" 1699 1701
"252" 1702 1053
"253" 1773 1040
"254" 1781 1026
"255" 1802 1301
"256" 1813 1796
"257" 1840 1787
"258" 1907 146
"259" 1916 1791
"260" 1925 67
"261" 1965 349
"262" 1977 67
"263" 2014 161
"264" 2063 281
"265" 2315 67
"266" 2343 67
"267" 2392 869
"268" 2404 869
"269" 2482 146
"270" 2485 1865
"271" 2509 869
"272" 2542 349
"273" 2662 349
"274" 3094 846
"275" 3223 869
"276" 3227 1343
"277" 3333 1040
"278" 3369 1125
"279" 3387 1701
"280" 3396 1125
"281" 3404 1125
"282" 3420 1125
"283" 3457 1053
"284" 3459 1125
"285" 3474 1125
"286" 3482 855
"287" 3550 1796
"288" 3610 869
"289" 3614 1040
"290" 3627 1226
"291" 4126 1821
"292" 4149 1236
"293" 4155 1701
"294" 4266 1701
"295" 4337 1224
"296" 4341 1779
"297" 4359 1701
"298" 4375 1222
"299" 4419 846
"300" 4434 349
"301" 73 4474
"302" 158 4474
"303" 491 156
"304" 495 156
"305" 504 349
"306" 505 156
"307" 850 1006
"308" 1005 846
"309" 1028 846
"310" 1057 1778
"311" 1061 846
"312" 1093 846
"313" 1109 1780
"314" 1149 1006
"315" 1221 1006
"316" 1251 1796
"317" 1252 1233
"318" 1272 1236
