"offspring" "mother"
"1" 10 2212
"2" 19 2464
"3" 26 2564
"4" 40 3308
"5" 50 20
"6" 56 1923
"7" 58 2359
"8" 60 1966
"9" 68 2309
"10" 73 1945
"11" 105 2015
"12" 112 2021
"13" 118 2016
"14" 121 2941
"15" 124 2442
"16" 144 2053
"17" 148 2517
"18" 159 2064
"19" 167 2011
"20" 179 2558
"21" 181 2398
"22" 208 2136
"23" 227 2706
"24" 230 2093
"25" 258 2212
"26" 295 2025
"27" 332 2867
"28" 383 2283
"29" 432 3138
"30" 455 2016
"31" 480 3198
"32" 493 2046
"33" 530 2082
"34" 536 2545
"35" 558 2135
"36" 563 3123
"37" 605 1976
"38" 644 4447
"39" 720 3986
"40" 788 2051
"41" 789 2051
"42" 817 3220
"43" 819 3064
"44" 830 3061
"45" 836 3308
"46" 838 3076
"47" 857 3022
"48" 871 3023
"49" 874 3123
"50" 875 3123
"51" 876 1918
"52" 877 3135
"53" 881 3138
"54" 884 3144
"55" 893 3155
"56" 903 3023
"57" 911 3218
"58" 914 3023
"59" 919 3138
"60" 942 3237
"61" 970 2509
"62" 974 3282
"63" 986 3048
"64" 1030 2545
"65" 1032 3319
"66" 1049 2398
"67" 1067 3081
"68" 1070 3413
"69" 1152 3119
"70" 1170 3549
"71" 1179 3756
"72" 1209 3782
"73" 1243 3622
"74" 1288 4314
"75" 1296 4314
"76" 1339 2309
"77" 1342 3756
"78" 1345 3756
"79" 1385 3228
"80" 1427 2339
"81" 1477 2223
"82" 1490 4310
"83" 1518 3962
"84" 1527 3962
"85" 1550 3311
"86" 1571 2867
"87" 1611 4086
"88" 1612 4086
"89" 1614 2223
"90" 1618 4143
"91" 1632 4101
"92" 1647 4143
"93" 1682 4174
"94" 1706 2917
"95" 1845 3307
"96" 1885 3001
"97" 1892 3986
"98" 1908 4143
"99" 1922 2309
"100" 1925 1976
"101" 1935 2064
"102" 1936 2082
"103" 1937 1940
"104" 1939 1940
"105" 1950 1949
"106" 1964 1995
"107" 1977 1976
"108" 1982 1985
"109" 2000 2046
"110" 2003 2061
"111" 2018 21
"112" 2026 2045
"113" 2040 2022
"114" 2071 2382
"115" 2087 21
"116" 2116 2706
"117" 2165 2010
"118" 2200 2995
"119" 2217 3133
"120" 2242 3143
"121" 2248 3598
"122" 2256 3048
"123" 2269 2359
"124" 2337 2331
"125" 2364 1966
"126" 2410 2428
"127" 2443 2471
"128" 2502 3248
"129" 2503 2055
"130" 2526 2010
"131" 2530 2011
"132" 2544 2545
"133" 2552 2398
"134" 2561 2082
"135" 2565 2564
"136" 2594 2395
"137" 2600 2015
"138" 2609 2710
"139" 2624 2283
"140" 2628 1949
"141" 2645 2700
"142" 2692 2023
"143" 2704 2115
"144" 2766 2025
"145" 2776 4447
"146" 2797 2941
"147" 2802 3756
"148" 2864 3248
"149" 2873 3986
"150" 2909 2186
"151" 2959 2109
"152" 2961 2965
"153" 2996 2995
"154" 3007 2970
"155" 3041 3042
"156" 3064 3073
"157" 3077 3048
"158" 3079 3078
"159" 3083 3078
"160" 3111 3520
"161" 3153 3198
"162" 3157 3048
"163" 3177 3198
"164" 3189 3198
"165" 3223 2509
"166" 3235 3263
"167" 3239 3237
"168" 3243 3046
"169" 3246 3229
"170" 3250 3251
"171" 3255 3045
"172" 3256 3248
"173" 3260 2517
"174" 3264 3263
"175" 3277 3042
"176" 3287 3285
"177" 3289 3285
"178" 3297 2535
"179" 3309 3308
"180" 3320 3307
"181" 3322 3081
"182" 3329 3328
"183" 3337 3078
"184" 3338 3328
"185" 3339 3330
"186" 3348 3402
"187" 3355 3354
"188" 3420 3413
"189" 3440 3106
"190" 3450 3491
"191" 3456 3106
"192" 3496 3285
"193" 3497 2509
"194" 3536 3756
"195" 3675 4305
"196" 3717 3285
"197" 3743 3780
"198" 3784 4092
"199" 3832 4438
"200" 3858 4285
"201" 3862 3373
"202" 3913 2331
"203" 3931 4461
"204" 3967 2342
"205" 4004 3780
"206" 4036 4077
"207" 4063 4077
"208" 4065 3782
"209" 4078 2331
"210" 4136 4137
"211" 4144 4143
"212" 4171 3280
"213" 4176 4143
"214" 4186 4314
"215" 4189 4314
"216" 4260 4137
"217" 4297 4077
"218" 4302 4310
"219" 4323 4381
"220" 4352 4357
"221" 4383 4330
"222" 4407 4336
"223" 4423 3198
"224" 461 2016
"225" 610 2167
"226" 1519 3964
"227" 1652 3842
"228" 1794 3556
"229" 2088 21
"230" 2220 2223
"231" 2255 3271
"232" 2574 2576
"233" 2787 3018
"234" 3818 3251
"235" 3841 4272
"236" 236 4451
"237" 1043 3377
"238" 3381 3377
"239" 4210 2970
"240" 2172 2205
"241" 2986 4255
"242" 3151 3148
"243" 2222 1932
"244" 25 3054
"245" 27 3707
"246" 61 3308
"247" 89 1962
"248" 95 1927
"249" 120 2564
"250" 185 2554
"251" 214 2545
"252" 221 2191
"253" 244 2785
"254" 320 2191
"255" 328 2146
"256" 358 3237
"257" 443 2995
"258" 459 2145
"259" 470 2418
"260" 495 3034
"261" 511 3269
"262" 579 2835
"263" 601 2706
"264" 602 2706
"265" 608 2175
"266" 680 2112
"267" 782 2051
"268" 783 4101
"269" 823 2464
"270" 831 2442
"271" 882 4444
"272" 944 3222
"273" 945 2493
"274" 949 3228
"275" 960 3251
"276" 968 2499
"277" 977 2487
"278" 978 3269
"279" 983 3782
"280" 1036 3371
"281" 1077 2570
"282" 1078 2596
"283" 1183 3889
"284" 1198 3502
"285" 1251 3645
"286" 1270 3668
"287" 1360 2236
"288" 1373 3531
"289" 1376 2796
"290" 1392 3433
"291" 1405 3652
"292" 1449 3889
"293" 1455 3889
"294" 1459 3707
"295" 1463 3229
"296" 1497 3766
"297" 1532 4285
"298" 1707 3433
"299" 1718 4183
"300" 1758 2858
"301" 1798 4374
"302" 1802 4345
"303" 1806 4358
"304" 1814 4378
"305" 1833 4364
"306" 1871 1927
"307" 1873 1962
"308" 1895 3962
"309" 1900 2332
"310" 1919 2272
"311" 1938 3228
"312" 2130 2769
"313" 2138 2785
"314" 2215 2387
"315" 2234 2236
"316" 2241 3271
"317" 2246 3271
"318" 2247 1940
"319" 2288 1957
"320" 2325 2331
"321" 2327 1957
"322" 2338 2332
"323" 2354 2355
"324" 2375 2038
"325" 2389 2401
"326" 2396 2395
"327" 2448 2917
"328" 2490 2487
"329" 2500 2053
"330" 2571 2570
"331" 2597 2596
"332" 2625 2203
"333" 2635 4183
"334" 2677 2112
"335" 2682 2112
"336" 2687 2688
"337" 2711 3763
"338" 2724 2082
"339" 2728 3772
"340" 2764 4446
"341" 2772 2773
"342" 2781 2203
"343" 2783 2167
"344" 2834 2835
"345" 2870 2867
"346" 2884 2875
"347" 2967 2965
"348" 2980 2192
"349" 3028 3271
"350" 3097 3098
"351" 3120 2412
"352" 3129 2435
"353" 3136 3073
"354" 3145 3143
"355" 3166 3180
"356" 3217 3215
"357" 3247 3222
"358" 3259 3251
"359" 3292 3053
"360" 3334 3336
"361" 3387 3400
"362" 3415 21
"363" 3427 3425
"364" 3428 3425
"365" 3460 3455
"366" 3469 3455
"367" 3503 3502
"368" 3543 3140
"369" 3739 4101
"370" 3847 3988
"371" 3957 3772
"372" 3970 3140
"373" 3984 3988
"374" 4012 3215
"375" 4125 4127
"376" 4126 3508
"377" 4177 4180
"378" 4224 2858
"379" 4234 4183
"380" 4254 2970
"381" 4259 4257
"382" 4320 4379
"383" 4409 4407
"384" 4416 2038
"385" 4457 2952
"386" 4459 4241
"387" 51 1943
"388" 96 2773
"389" 192 2633
"390" 193 2673
"391" 338 2587
"392" 359 3271
"393" 481 2044
"394" 503 2046
"395" 879 3520
"396" 1274 2575
"397" 1363 4120
"398" 1608 3921
"399" 1630 3280
"400" 2440 2438
"401" 2505 3222
"402" 2778 2710
"403" 2779 2576
"404" 2880 2136
"405" 3070 2576
"406" 3564 3502
"407" 3610 3832
"408" 3685 3677
"409" 4347 4360
"410" 101 2668
"411" 276 2570
"412" 611 2768
"413" 801 2202
"414" 1068 2395
"415" 1468 3766
"416" 2216 1930
"417" 2219 1930
"418" 2850 2841
"419" 3684 3707
"420" 256 2668
"421" 425 2482
"422" 1928 1957
"423" 2866 2867
"424" 695 3707
"425" 1128 3310
"426" 791 2186
"427" 600 4440
"428" 1621 4095
